user_id,product_id,action,timestamp,device,category,session_duration,price
U226,P040,click,2026-04-01 00:00:00,mobile,clothing,530,240.96
U035,P072,view,2026-04-01 00:00:00,tablet,home,406,434.38
U157,P077,view,2026-04-01 00:00:00,mobile,beauty,167,113.73
U331,P014,view,2026-04-01 00:01:00,mobile,beauty,243,158.82
U109,P087,view,2026-04-01 00:03:00,mobile,beauty,42,250.55
U131,P099,view,2026-04-01 00:08:00,mobile,clothing,385,258.74
U154,P040,view,2026-04-01 00:10:00,desktop,beauty,67,96.06
U208,P042,click,2026-04-01 00:11:00,desktop,electronics,257,213.66
U194,P008,view,2026-04-01 00:11:00,tablet,electronics,309,354.56
U479,P051,click,2026-04-01 00:12:00,tablet,home,375,71.55
U284,P071,view,2026-04-01 00:12:00,tablet,beauty,111,40.39
U277,P082,add_to_cart,2026-04-01 00:13:00,mobile,electronics,585,79.95
U279,P043,add_to_cart,2026-04-01 00:15:00,desktop,electronics,273,80.74
U262,P001,add_to_cart,2026-04-01 00:15:00,desktop,clothing,550,37.84
U382,P075,click,2026-04-01 00:18:00,tablet,home,351,296.39
U020,P094,view,2026-04-01 00:20:00,tablet,beauty,299,331.3
U463,P017,click,2026-04-01 00:20:00,tablet,beauty,497,296.16
U355,P093,click,2026-04-01 00:21:00,tablet,beauty,578,337.24
U320,P016,click,2026-04-01 00:22:00,mobile,electronics,438,204.7
U297,P068,view,2026-04-01 00:26:00,mobile,beauty,304,382.09
U135,P060,add_to_cart,2026-04-01 00:32:00,desktop,beauty,557,285.51
U101,P045,add_to_cart,2026-04-01 00:32:00,tablet,clothing,565,44.26
U221,P003,add_to_cart,2026-04-01 00:34:00,tablet,electronics,462,268.58
U423,P057,view,2026-04-01 00:34:00,mobile,home,61,490.5
U057,P068,view,2026-04-01 00:34:00,tablet,clothing,326,481.35
U176,P056,view,2026-04-01 00:35:00,desktop,home,90,485.85
U103,P075,view,2026-04-01 00:37:00,mobile,beauty,115,364.81
U271,P053,view,2026-04-01 00:38:00,tablet,beauty,61,74.36
U408,P076,click,2026-04-01 00:39:00,tablet,home,161,36.47
U205,P002,view,2026-04-01 00:40:00,desktop,beauty,280,472.84
U249,P012,view,2026-04-01 00:41:00,mobile,clothing,83,300.5
U201,P012,click,2026-04-01 00:41:00,mobile,clothing,399,246.75
U355,P047,add_to_cart,2026-04-01 00:43:00,mobile,clothing,581,95.13
U402,P099,click,2026-04-01 00:43:00,desktop,clothing,254,391.39
U324,P050,add_to_cart,2026-04-01 00:43:00,desktop,home,448,25.75
U378,P099,add_to_cart,2026-04-01 00:45:00,desktop,electronics,449,355.81
U322,P065,view,2026-04-01 00:47:00,mobile,electronics,199,461.27
U252,P018,view,2026-04-01 00:49:00,mobile,clothing,146,373.41
U449,P069,view,2026-04-01 00:49:00,mobile,clothing,158,272.1
U092,P089,click,2026-04-01 00:50:00,desktop,beauty,251,241.82
U229,P018,view,2026-04-01 00:51:00,tablet,beauty,134,404.84
U419,P087,add_to_cart,2026-04-01 00:54:00,mobile,beauty,558,186.9
U195,P093,view,2026-04-01 00:56:00,mobile,home,283,171.2
U037,P034,click,2026-04-01 00:57:00,tablet,clothing,576,241.9
U176,P084,view,2026-04-01 00:58:00,mobile,home,260,287.74
U163,P082,view,2026-04-01 00:58:00,tablet,beauty,232,288.64
U050,P033,click,2026-04-01 01:00:00,desktop,home,482,339.74
U004,P050,click,2026-04-01 01:00:00,desktop,clothing,187,224.35
U203,P072,view,2026-04-01 01:01:00,mobile,home,256,431.21
U347,P066,view,2026-04-01 01:01:00,desktop,clothing,177,498.71
U278,P013,click,2026-04-01 01:01:00,desktop,electronics,143,388.14
U357,P072,add_to_cart,2026-04-01 01:02:00,desktop,clothing,484,80.22
U394,P014,view,2026-04-01 01:02:00,mobile,home,82,245.98
U069,P096,view,2026-04-01 01:04:00,tablet,home,138,342.52
U128,P092,add_to_cart,2026-04-01 01:04:00,desktop,electronics,379,140.02
U020,P040,click,2026-04-01 01:06:00,desktop,home,220,361.5
U387,P095,click,2026-04-01 01:06:00,mobile,electronics,465,182.86
U347,P036,add_to_cart,2026-04-01 01:07:00,mobile,clothing,439,11.94
U361,P058,click,2026-04-01 01:09:00,tablet,beauty,523,404.43
U211,P042,view,2026-04-01 01:09:00,tablet,beauty,463,480.05
U240,P072,click,2026-04-01 01:11:00,desktop,clothing,486,391.57
U486,P085,view,2026-04-01 01:11:00,tablet,home,76,341.11
U257,P095,click,2026-04-01 01:12:00,tablet,electronics,369,344.21
U219,P045,view,2026-04-01 01:12:00,mobile,electronics,274,321.27
U446,P056,click,2026-04-01 01:12:00,desktop,clothing,415,480.16
U300,P036,view,2026-04-01 01:15:00,tablet,clothing,256,299.97
U412,P048,view,2026-04-01 01:17:00,desktop,clothing,204,487.68
U281,P033,view,2026-04-01 01:17:00,tablet,home,243,167.48
U391,P072,add_to_cart,2026-04-01 01:18:00,mobile,electronics,568,27.24
U273,P041,view,2026-04-01 01:18:00,tablet,electronics,42,112.03
U370,P019,view,2026-04-01 01:18:00,tablet,home,210,146.26
U479,P097,click,2026-04-01 01:19:00,desktop,beauty,302,186.85
U135,P091,click,2026-04-01 01:19:00,tablet,beauty,333,68.95
U115,P061,click,2026-04-01 01:20:00,desktop,beauty,509,495.84
U109,P070,click,2026-04-01 01:20:00,desktop,electronics,26,273.47
U421,P025,view,2026-04-01 01:21:00,mobile,electronics,177,198.47
U290,P043,view,2026-04-01 01:21:00,mobile,home,184,162.56
U310,P054,view,2026-04-01 01:21:00,mobile,beauty,88,367.09
U310,P012,view,2026-04-01 01:22:00,mobile,clothing,169,30.26
U330,P094,view,2026-04-01 01:22:00,tablet,home,114,48.61
U251,P069,view,2026-04-01 01:22:00,tablet,beauty,236,494.32
U192,P099,click,2026-04-01 01:23:00,mobile,home,443,192.64
U177,P010,view,2026-04-01 01:26:00,mobile,beauty,206,145.39
U223,P063,view,2026-04-01 01:26:00,mobile,electronics,39,453.11
U045,P068,click,2026-04-01 01:26:00,mobile,electronics,520,498.52
U194,P007,click,2026-04-01 01:26:00,mobile,beauty,341,89.87
U477,P015,click,2026-04-01 01:27:00,tablet,electronics,375,381.24
U257,P070,click,2026-04-01 01:27:00,desktop,home,577,363.41
U320,P074,view,2026-04-01 01:27:00,tablet,electronics,132,378.92
U014,P076,view,2026-04-01 01:28:00,mobile,home,297,173.86
U414,P087,view,2026-04-01 01:29:00,tablet,clothing,120,452.17
U495,P094,view,2026-04-01 01:31:00,mobile,beauty,219,253.51
U063,P088,click,2026-04-01 01:31:00,tablet,beauty,368,108.65
U459,P018,click,2026-04-01 01:32:00,mobile,electronics,395,310.5
U282,P070,view,2026-04-01 01:32:00,mobile,beauty,12,393.06
U443,P031,click,2026-04-01 01:32:00,mobile,electronics,477,488.33
U264,P098,view,2026-04-01 01:33:00,tablet,electronics,77,312.21
U247,P037,view,2026-04-01 01:33:00,tablet,electronics,184,245.42
U260,P009,view,2026-04-01 01:34:00,tablet,home,42,294.81
U491,P042,click,2026-04-01 01:34:00,tablet,home,428,66.13
U093,P058,view,2026-04-01 01:34:00,desktop,beauty,67,380.39
U341,P052,view,2026-04-01 01:34:00,tablet,home,248,234.27
U358,P067,view,2026-04-01 01:36:00,desktop,home,11,34.27
U274,P063,view,2026-04-01 01:36:00,mobile,beauty,153,497.84
U481,P057,click,2026-04-01 01:37:00,desktop,beauty,312,208.68
U376,P099,view,2026-04-01 01:38:00,mobile,clothing,338,447.11
U254,P014,click,2026-04-01 01:40:00,mobile,clothing,199,31.97
U189,P051,view,2026-04-01 01:41:00,tablet,home,464,476.94
U122,P057,click,2026-04-01 01:41:00,mobile,home,585,309.66
U142,P058,view,2026-04-01 01:41:00,tablet,home,298,484.59
U140,P019,view,2026-04-01 01:41:00,tablet,beauty,120,11.14
U456,P073,view,2026-04-01 01:43:00,desktop,electronics,46,321.86
U043,P082,click,2026-04-01 01:47:00,mobile,home,441,328.97
U322,P090,view,2026-04-01 01:48:00,tablet,clothing,247,340.71
U341,P100,click,2026-04-01 01:49:00,desktop,clothing,137,38.8
U389,P085,click,2026-04-01 01:50:00,tablet,beauty,380,157.24
U020,P089,view,2026-04-01 01:51:00,tablet,electronics,52,455.59
U302,P095,add_to_cart,2026-04-01 01:52:00,desktop,clothing,477,286.47
U039,P039,add_to_cart,2026-04-01 01:55:00,mobile,electronics,581,57.88
U002,P025,click,2026-04-01 01:56:00,desktop,clothing,208,146.32
U196,P051,click,2026-04-01 01:57:00,desktop,home,361,226.51
U458,P007,add_to_cart,2026-04-01 01:58:00,desktop,beauty,428,20.22
U247,P074,click,2026-04-01 01:58:00,tablet,electronics,126,120.58
U098,P004,view,2026-04-01 01:58:00,mobile,electronics,131,224.38
U322,P020,click,2026-04-01 01:58:00,desktop,electronics,17,72.78
U477,P094,click,2026-04-01 02:00:00,desktop,clothing,303,297.36
U192,P047,view,2026-04-01 02:01:00,mobile,clothing,386,444.04
U300,P053,click,2026-04-01 02:02:00,tablet,electronics,367,98.15
U242,P003,click,2026-04-01 02:04:00,desktop,electronics,327,351.06
U486,P061,click,2026-04-01 02:05:00,tablet,beauty,447,112.13
U353,P063,click,2026-04-01 02:05:00,tablet,electronics,390,107.03
U245,P013,click,2026-04-01 02:05:00,tablet,clothing,552,387.77
U076,P013,add_to_cart,2026-04-01 02:06:00,desktop,beauty,577,349.74
U331,P019,add_to_cart,2026-04-01 02:07:00,desktop,home,579,115.46
U344,P063,view,2026-04-01 02:07:00,tablet,electronics,217,70.8
U264,P024,view,2026-04-01 02:07:00,tablet,beauty,122,285.43
U148,P007,click,2026-04-01 02:09:00,mobile,electronics,421,349.46
U334,P013,view,2026-04-01 02:09:00,tablet,beauty,294,110.55
U228,P058,click,2026-04-01 02:09:00,mobile,home,327,270.06
U296,P045,view,2026-04-01 02:09:00,desktop,home,166,457.22
U023,P051,add_to_cart,2026-04-01 02:12:00,desktop,beauty,564,147.02
U228,P048,view,2026-04-01 02:13:00,tablet,clothing,400,380.11
